Timestamp_UTC,NodeIndex,PhaseVelocity,Hardware_T_Celsius,Operator_Status
2026-08-21T14:18:24Z,01,0.01105,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,02,0.02205,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,03,0.03305,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,04,0.04405,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,05,0.05505,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,06,0.06605,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,07,0.07705,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,08,0.08805,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,09,0.09905,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,10,0.11005,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,11,0.12105,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,12,0.13205,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,13,0.14305,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,14,0.15405,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,15,0.16505,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,16,0.17605,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,17,0.18705,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,18,0.19805,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,19,0.20905,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,20,0.22005,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,21,0.23105,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,22,0.24205,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,23,0.25305,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,24,0.26405,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,25,0.27505,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,26,0.28605,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,27,0.29705,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,28,0.30805,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,29,0.31905,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,30,0.33005,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,31,0.34105,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,32,0.35205,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,33,0.36305,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,34,0.37405,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,35,0.38505,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,36,0.39605,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,37,0.40705,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,38,0.41805,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,39,0.42905,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,40,0.44005,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,41,0.45105,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,42,0.46205,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,43,0.47305,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,44,0.48405,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,45,0.49505,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,46,0.50605,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,47,0.51705,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,48,0.52805,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,49,0.53905,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,50,0.55005,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,51,0.56105,0,100_Legal_Operator_True
2026-08-21T14:18:24Z,52,0.57205,0,100_Legal_Operator_True
